stream_name,WS-default
daq_type,EEG
units,microvolts
reference,A1A2
sample_rate,300.0
Timestamp,Pz,F4,C4,P4,P3,C3,F3,TRG,lsl_timestamp
58,1095.6400146484375,26.53260612487793,5.044009685516357,1205.4681396484375,2873.235595703125,538.0628662109375,-3722.034912109375,0.0,19625.3158667
59,-9862.8671875,-9396.7841796875,-9964.416015625,-8476.9267578125,-8406.013671875,-8114.94970703125,-6216.458984375,0.0,19625.3158672
60,-8824.1162109375,-7361.9013671875,-8107.26708984375,-6430.46484375,-9766.220703125,-7272.583984375,-1781.214111328125,0.0,19625.3158677
61,3606.883056640625,5489.23291015625,5294.7529296875,6398.92431640625,3191.84033203125,4425.2041015625,5539.59326171875,0.0,19625.3158682
62,9863.16796875,10569.5,11234.375,11859.03125,11870.2080078125,10281.2001953125,5001.6904296875,0.0,19625.3158687
63,3218.2919921875,3541.72705078125,3822.47607421875,4659.59814453125,6592.08984375,4304.2744140625,-286.8080139160156,0.0,19625.3158692
64,-9862.8671875,-9140.619140625,-10057.8525390625,-8740.513671875,-8698.826171875,-8572.6806640625,-6568.67919921875,0.0,19625.3453208
65,-8774.751953125,-7145.564453125,-8052.79541015625,-6632.05029296875,-9685.623046875,-7330.2841796875,-1902.85986328125,0.0,19625.3453219
66,4401.52294921875,5678.1455078125,5404.09033203125,6457.2646484375,3207.1494140625,4405.4326171875,5706.8974609375,0.0,19625.3453225
67,9863.16796875,9281.1650390625,9666.98046875,10313.61328125,10184.5107421875,8526.9677734375,3642.613037109375,0.0,19625.345323
68,5450.5078125,2589.744873046875,2027.598876953125,3148.029296875,4451.0419921875,2007.6044921875,-1734.9019775390625,0.0,19625.3453235
69,-8846.69140625,-8617.5537109375,-9520.2763671875,-8038.17529296875,-8237.6416015625,-8089.72119140625,-5836.91943359375,0.0,19625.3453241
70,-8543.884765625,-7109.89990234375,-7961.6328125,-6455.947265625,-9578.7890625,-7473.24072265625,-1810.000732421875,0.0,19625.3453246
71,3921.126953125,5768.34033203125,5502.94189453125,6605.44677734375,3259.22119140625,4376.75244140625,5631.224609375,0.0,19625.3453251
72,9863.16796875,10816.6552734375,11183.2998046875,11799.453125,11703.8310546875,9711.59375,4758.9765625,0.0,19625.3453256
73,2989.531982421875,3375.431640625,3475.343017578125,4354.71044921875,6235.0927734375,3784.99658203125,-692.8781127929688,0.0,19625.3792224
